plot_year,baseline_debt_pct,immediate_adjustment_debt_pct,phased_adjustment_debt_pct
2026.875,99.6245299253854,98.95536523823809,99.58229773149576
2027.125,100.07205872909626,98.73385748061253,99.94537023367901
2027.375,100.5295140296016,98.5222665651564,100.27613913709462
2027.625,100.98164582480543,98.30551726626075,100.5593743446511
2027.875,101.49697476547632,98.151772375082,100.86354869832246
2028.125,102.01587382509803,98.00148563688641,101.12903638448552
2028.375,102.55712068513824,97.87267866201327,101.37443914232958
2028.625,103.12370843415279,97.7679147256148,101.60258476162343
2028.875,103.56390861565295,97.53629629501663,101.66189708356485
2029.125,104.00438850371809,97.3046039123981,101.67904792536397
2029.375,104.45373025833884,97.08085050020576,101.66239790527013
2029.625,104.89959808898138,96.85327838227879,101.59977010117866
2029.875,105.38122684964644,96.66143422797217,101.5305042945564
2030.125,105.86137279394099,96.46765537473723,101.41716832146888
2030.375,106.34824185490557,96.27953372795278,101.26764815444527
2030.625,106.8352948164359,96.09109050989528,101.07561918319936
2030.875,107.29903358059727,95.87843820484309,100.85957376666788
2031.125,107.76142845022507,95.66402921333359,100.64173009278015
2031.375,108.226210253853,95.451271665932,100.42563297098337
2031.625,108.69410993775001,95.2406508727088,100.21185188686363
2031.875,109.18024696213642,95.04744182209602,100.0155857992421
2032.125,109.66643352945691,94.85361724865828,99.81874027961706
2032.375,110.1522726863776,94.65886172974626,99.62096852005595
2032.625,110.63473678413438,94.46034459796367,99.41937573543133
2032.875,111.24100904461487,94.3856521389026,99.34142910189219
2033.125,111.84384673705607,94.30711450902749,99.25959838431379
2033.375,112.44427728800859,94.22568768878763,99.17486229561845
2033.625,113.04229073953125,94.14131602138602,99.0871786356873
2033.875,113.5839951988789,94.00007096396622,98.9426281383716
2034.125,114.12956114037247,93.86088482762068,98.80053226083062
2034.375,114.66822314623337,93.71481663071532,98.6514666235313
2034.625,115.20095511869108,93.56269881490091,98.49629433460716
2034.875,115.64370894942424,93.31990693573474,98.2505194521734
2035.125,116.0831183022299,93.07330748432466,98.00094712487221
2035.375,116.52025373941784,92.82373531288954,97.74845774820774
2035.625,116.95493535626886,92.57109209424786,97.49292874296839
2035.875,117.50302214987325,92.43138374681581,97.35033128223229
2036.125,118.0487862747917,92.28848550968239,97.2046156303013
2036.375,118.59116115939372,92.1415463708977,97.05488303079396
2036.625,119.13144103087099,91.991587458035,96.90220138599598
2036.875,119.70940642333909,91.87836412150553,96.78632453294999
2037.125,120.31064303908528,91.78152247650479,96.68794025459931
2037.375,120.90798430535936,91.68007962633807,96.58494406620412
2037.625,121.50187588695889,91.57438884227014,96.47770448604726
2037.875,122.11134195216806,91.48347584461888,96.3852450284292
2038.125,122.66764526025756,91.35100137716644,96.24924228832666
2038.375,123.22052990363808,91.21447031692372,96.10920716050677
2038.625,123.76946396648943,91.0734842488468,95.96471844649163
2038.875,124.3262812499939,90.9398775676161,95.82761046309312
2039.125,124.90637606586257,90.82175476626713,95.70705498094951
2039.375,125.48332109980365,90.699711201557,95.58259750954804
2039.625,126.05659415141857,90.57333587248029,95.45380947575805
2039.875,126.63353062400158,90.44996532629061,95.32802731456194
2040.125,127.20226229546978,90.31904223886976,95.19451702390282
