scenario,terminal_inflation_rate,quarters_to_inflation_at_or_below_3_percent,minimum_output_gap,minimum_annual_real_gdp_growth_rate,cumulative_negative_output_gap_years,cumulative_automatic_stabilizer_deficit_billions,peak_total_deficit_gdp_ratio_annualized,terminal_debt_gdp_ratio,cumulative_treasury_interest_billions,cumulative_consolidated_financing_cost_billions,cumulative_fed_purchases_billions,ending_incremental_reserves_billions,feedback_converged,maximum_absolute_debt_identity_residual_billions
price_stability,0.019881209585835426,12,-0.04356943000435931,-0.024911786413927883,0.1158847760836561,2662.3533225373885,0.19042886204048998,2.3051915003424535,67865.32474267426,67865.32474267426,0.0,0.0,True,2.9103830456733704e-11
market_functioning,0.019881209585835426,12,-0.04356943000435931,-0.024911786413927883,0.1158847760836561,2662.3533225373885,0.18829823330589304,2.291187114842677,66884.93059926448,66446.99812560013,8624.147823485997,8624.147823485997,True,2.9103830456733704e-11
sterilized_yield_cap,0.019881209585835426,12,-0.04356943000435931,-0.024911786413927883,0.1158847760836561,2662.3533225373885,0.1685957983368695,2.191626681448102,59915.08063212808,61702.35085729986,44345.557269884805,44345.557269884805,True,2.9103830456733704e-11
fiscal_dominance,0.031165756715103302,-1,-0.012483417600000001,0.005310802162333594,0.029984546277525843,717.9249342555204,0.1685957983368695,1.9573622181593997,61183.45997149869,60600.474326142205,53498.71853809237,53498.71853809236,True,2.9103830456733704e-11
