quarter,quarter_end,calendar_year,calendar_quarter,fiscal_year,nominal_gdp_billions_saar,real_gdp_billions_chained_saar,annual_real_gdp_growth_rate,annual_inflation_rate,annual_tips_reference_inflation_rate,primary_deficit_billions,marketable_interest_excluding_tips_inflation_billions,bills_interest_cost_billions,notes_interest_cost_billions,bonds_interest_cost_billions,tips_real_interest_cost_billions,frns_interest_cost_billions,other_public_debt_interest_billions,tips_inflation_compensation_billions,tips_deflation_floor_cost_billions,modeled_debt_interest_cost_billions,modeled_total_deficit_billions,other_financing_adjustment_billions,beginning_debt_held_by_public_billions,debt_held_by_public_billions,debt_held_by_public_gdp_ratio,primary_deficit_gdp_ratio_annualized,modeled_interest_gdp_ratio_annualized,modeled_total_deficit_gdp_ratio_annualized,marketable_debt_billions,other_public_debt_billions,bills_outstanding_billions,notes_outstanding_billions,bonds_outstanding_billions,nominal_fixed_rate_debt_outstanding_billions,tips_outstanding_billions,frns_outstanding_billions,principal_maturing_billions,principal_refinanced_billions,frn_principal_reset_billions,principal_repriced_or_reset_billions,net_new_borrowing_requirement_billions,genuinely_new_borrowing_billions,debt_repayment_billions,gross_treasury_issuance_billions,average_effective_marketable_rate_excluding_tips_inflation,average_effective_debt_cost_rate_including_tips_inflation,average_new_issuance_stated_rate,share_marketable_debt_repriced_since_scenario_start,cumulative_modeled_interest_billions,debt_identity_residual_billions,issuance_rate_shock_basis_points
2048Q2,2048-06-30,2048,2,2048,72738.54401394143,35504.66269076893,0.015676506274730606,0.02077970179797095,0.022930584971782908,372.65234999999996,1896.9104374175029,477.2611914532122,998.4667898181561,269.0905985077743,99.9378867816041,52.15397085675717,6.05491834437418,58.57733795971167,0.0,1961.5426937215886,2334.1950437215887,0.0,112421.02678341414,114755.22182713573,1.5776397972049203,0.02049270328691625,0.10786813073110893,0.12836083401802517,114172.4577901411,582.7640369946275,24015.08248139679,57769.38504708967,19271.433106862944,77040.81815395261,10524.191268158145,2592.365886633558,26209.122847733197,26209.122847733197,2539.45080252013,28748.573650253325,2275.617705761877,2275.617705761877,0.0,28484.740553495074,0.0692828484090678,0.06979273361381473,0.08261744059908921,0.6203367592873322,20973.277588006807,0.0,500.0
2048Q3,2048-09-30,2048,3,2048,73398.37783497396,35642.99935466223,0.015676506274730606,0.02077970179796984,0.022930584971782908,372.65234999999996,1978.1500336817353,487.20598584133734,1051.0017620039498,280.23031017425023,106.47126126546155,53.240714396736706,6.05491834437418,59.81950896387092,0.0,2044.0244609899803,2416.6768109899804,0.0,114755.22182713573,117171.89863812571,1.5963826734913737,0.02030847879705772,0.11139344063356195,0.13170191943061968,116589.13460113108,582.7640369946275,24522.775580142537,58990.66413825719,19678.84264205291,78669.5067803101,10749.682200401558,2647.1700402768906,26699.067173454787,26699.067173454787,2592.365886633558,29291.433060088344,2356.857302026109,2356.857302026109,0.0,29055.924475480897,0.07069444066747176,0.0712481551059714,0.08265254606162173,0.648356672977638,23017.30204899679,0.0,500.0
2048Q4,2048-12-31,2048,4,2049,74064.19721259525,35781.87501910156,0.015676506274729718,0.02077970179797184,0.022930584971782908,392.23500750000005,2061.186979857068,497.5058095821417,1104.8968667086278,291.8774863568691,112.54056250724265,54.36625470218664,6.05491834437418,61.10119954692,0.0,2128.3430977483617,2520.5781052483617,0.0,117171.89863812571,119692.47674337408,1.6160639181682692,0.021183514964679705,0.11494585388614292,0.1361293688508226,119109.71270637945,582.7640369946275,25052.574075145072,60265.11877645712,20103.99114047956,80369.10991693668,10983.668300167274,2704.3604141304177,27007.217044111654,27007.217044111654,2647.1700402768906,29654.387084388545,2459.476905701442,2459.476905701442,0.0,29466.693949813096,0.07197896857945382,0.07265711736297958,0.08257814305711611,0.6738354859213129,25145.64514674515,0.0,500.0
2049Q1,2049-03-31,2049,1,2049,74708.85169853843,35919.71301209475,0.015497958573625237,0.019473428238653945,0.022930584971783796,392.23500750000005,2144.019315269879,508.2540965495057,1157.648569111398,303.8987474233795,118.67710018039219,55.54080200520345,6.05491834437418,62.43117666684665,0.0,2212.5054102810996,2604.7404177810995,0.0,119692.47674337408,122297.21716115517,1.6369842981209646,0.021000724737825063,0.11846014816069694,0.139460872898522,121714.45312416054,582.7640369946275,25600.215570233326,61582.49557172837,20543.45814823651,82125.95371996488,11224.80694038317,2763.476893579178,27688.62709073457,27688.62709073457,2704.3604141304177,30392.98750486499,2542.309241114253,2542.309241114253,0.0,30230.936331848825,0.07328400489074521,0.07393966506432341,0.08255919599825029,0.6996546671744833,27358.150557026252,0.0,500.0
2049Q2,2049-06-30,2049,2,2049,75359.11725463274,36058.08198096057,0.015497958573625237,0.019473428238653945,0.022366633995218432,392.23500750000005,2230.6252097290107,519.3643733811086,1212.2379200288985,316.321869468672,125.94614014844939,56.754906701882376,6.05491834437418,62.24560878055168,0.0,2298.9257368539365,2691.1607443539365,0.0,122297.21716115517,124988.37790550911,1.658570090241143,0.020819511787786352,0.12202508843547308,0.14284460022325943,124405.61386851448,582.7640369946275,26166.51293171188,62944.74991133964,20997.895967835124,83942.64587917476,11471.847832194717,2824.607225433121,28250.595942973887,28250.595942973887,2763.476893579178,31014.072836553067,2628.9151355733848,2628.9151355733848,0.0,30879.51107854727,0.07454694361385211,0.07519143248613955,0.08255819391671176,0.7246573027851961,29657.07629388019,0.0,500.0
2049Q3,2049-09-30,2049,3,2049,76015.04271961107,36196.983971110225,0.015497958573625237,0.019473428238653945,0.022366633995218432,392.23500750000005,2319.249318509147,530.8531311021048,1268.1251094159325,329.02819965531506,133.23250744346157,58.01037089233273,6.05491834437418,63.61553975452495,0.0,2388.919776608046,2781.154784108046,0.0,124988.37790550911,127769.53268961716,1.6808453711051323,0.02063986250441494,0.12570773842329133,0.14634760092770627,127186.76865262253,582.7640369946275,26751.900905240425,64352.92759596356,21467.653470527708,85820.58106649127,11726.488341531847,2887.7983393589843,28739.242892988612,28739.242892988612,2824.607225433121,31563.85011842173,2717.539244353521,2717.539244353521,0.0,31456.782137342132,0.07573697960906839,0.07645254116071698,0.08256764801958735,0.7481447228851088,32045.996070488236,0.0,500.0
2049Q4,2049-12-31,2049,4,2050,76676.67735729841,36336.421035834224,0.015497958573625237,0.019473428238653057,0.022366633995218432,407.0113625000001,2408.9573446590757,542.729189615065,1324.5260098616498,342.42127744945384,139.97270933832147,59.30815839458515,6.057832164559153,65.02761335258874,0.0,2480.042790176223,2887.054152676223,0.0,127769.53268961716,130656.58684229339,1.7039938524391074,0.021232603004087216,0.12937664362370352,0.1506092466277907,130073.82280529875,582.7640369946275,27359.79659636279,65815.24863009361,21955.472788095736,87770.72141818935,11989.885687706384,2953.4191030402208,29065.96302610084,29065.963026100835,2887.7983393589843,31953.76136545982,2822.0265393236346,2822.0265393236346,0.0,31887.98956542447,0.07678237484434161,0.07764113205926304,0.08246812552538631,0.7687669958836779,34526.038860664456,0.0,500.0
2050Q1,2050-03-31,2050,1,2050,77356.14328070718,36473.8915487907,0.015219177974386433,0.020390207990024445,0.022366633995218432,407.0113625000001,2497.6542004342914,555.0618734487101,1378.9976406626351,356.0707065024427,146.86813499181397,60.655844828688544,6.057832164559153,66.48824677380432,0.0,2570.2002793726547,2977.2116418726546,0.0,130656.58684229339,133633.79848416604,1.7275137153521283,0.02104610417419865,0.13290219343257612,0.15394829760677475,133051.0344471714,582.7640369946275,27986.798570041512,67323.53070535987,22458.624363901516,89782.15506926138,12260.978467484605,3021.102340383909,29787.86619604256,29787.86619604256,2953.4191030402208,32741.28529908278,2910.7233950988502,2910.7233950988502,0.0,32698.58959114141,0.07783665048695403,0.07868567032062355,0.08243136618498825,0.7894216350742541,37096.23914003711,0.0,500.0
2050Q2,2050-06-30,2050,2,2050,78041.63025193631,36611.88214989548,0.015219177974386433,0.020390207990024445,0.02276633294218633,407.0113625000001,2589.9321342283574,567.7821759897172,1434.8052931772452,370.198132561701,155.10064318405765,62.04588931563454,6.057832164559153,69.19639444055221,0.0,2665.1863608334684,3072.1977233334683,0.0,133633.79848416604,136705.9962074995,1.751706054399186,0.02086124347664568,0.13660331554989996,0.15746455902654563,136123.23217050487,582.7640369946275,28633.678230041543,68879.62946898563,22977.72722792615,91857.35669691178,12541.265921125201,3090.9313224263506,30389.282369697492,30389.282369697492,3021.102340383909,33410.3847100814,3003.0013288929163,3003.0013288929163,0.0,33392.28369859041,0.07883925853623376,0.07977581692850735,0.08246820837415778,0.8090618218633636,39761.42550087058,0.0,500.0
2050Q3,2050-09-30,2050,3,2050,78733.19162615138,36750.394806782766,0.015219177974387321,0.020390207990024445,0.02276633294218633,407.0113625000001,2683.875466234259,580.9057470919678,1491.773954775724,385.2424959492042,162.473266383032,63.480002034331164,6.057832164559153,70.77823240318193,0.0,2760.7115308019997,3167.7228933019996,0.0,136705.9962074995,139873.7191008015,1.7765533977710892,0.020678006522718454,0.14025655374981771,0.16093456027253616,139290.95506380688,582.7640369946275,29300.794321535148,70484.40789897674,23513.069263152967,93997.47716212971,12829.738805363273,3162.9447747787212,31047.36703060334,31047.367030603342,3090.9313224263506,34138.29835302969,3096.944660898818,3096.944660898818,0.0,34144.31169150216,0.07980902163115844,0.08077806701650884,0.08246043934218814,0.8280073867485026,42522.13703167258,0.0,500.0
