scenario,inflation_ceiling,sustained_breach_quarters,first_inflation_ceiling_breach,first_sustained_inflation_ceiling_breach,inflation_ceiling_breached,inflation_ceiling_breached_sustained,peak_inflation_rate,peak_inflation_deviation_from_reference,terminal_inflation_rate,terminal_inflation_deviation_from_reference,terminal_four_quarter_inflation_change,terminal_four_quarter_inflation_deviation_change,terminal_inflation_pressure_nonincreasing,peak_policy_rate,peak_short_issuance_rate,terminal_debt_gdp_ratio,terminal_four_quarter_debt_gdp_change,terminal_debt_gdp_nonincreasing,minimum_output_gap,maximum_output_gap,peak_gross_issuance_gdp_ratio_annualized,peak_interest_gdp_ratio_annualized,peak_total_deficit_gdp_ratio_annualized,peak_incremental_cash_interest_billions,cumulative_incremental_cash_interest_billions,peak_debt_gdp_gap_from_reference_percentage_points,terminal_debt_gdp_gap_from_reference_percentage_points,first_positive_debt_yield_feedback,peak_debt_yield_long_adjustment_basis_points,terminal_debt_yield_long_adjustment_basis_points,private_absorption_market_clearing_enabled,peak_private_absorption_market_clearing_spread_basis_points,rate_bound_ever_binding
no_shock_central_spending,0.04,4,,,False,False,0.02374108660242924,0.0,0.0205875873556971,0.0,0.000642512570785847,0.0,True,0.03278,0.03278,1.727745483767766,0.03134187081015005,False,0.0,0.0,1.6540892754868837,0.06926135693079213,0.09101989495720317,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.0,False
stress_no_interest_spending,0.04,4,,,False,False,0.02374108660242924,0.0,0.020535821083819385,-5.1766271877716485e-05,0.0006500623637098642,7.549792924017168e-06,False,0.03278,0.08277999999999999,2.5155661203331836,0.0358790205733035,False,-0.0047051326666876035,0.000552545368967843,2.4135916647413915,0.1343338072497345,0.15476283187430767,1031.3412499756341,72331.88302270921,78.78206365654177,78.78206365654177,,0.0,0.0,False,0.0,False
stress_central_spending_no_private_spread,0.04,4,2037Q2,2037Q2,True,True,0.08186438952086368,0.06127680216516658,0.08186438952086368,0.06127680216516658,0.0038797778076199857,0.0032372652368341387,False,0.13920764195107588,0.13920764195107588,2.5645374394999028,0.057646395151444985,False,0.0,0.035354632773766666,2.4544163363961116,0.2928323559204475,0.29922457959950066,11583.335723644623,344526.6379922445,83.67919557321369,83.67919557321369,,0.0,0.0,False,0.0,False
stress_central_interest_spending,0.04,4,2037Q3,2037Q3,True,True,0.0803938969812712,0.059806309625574094,0.0803938969812712,0.059806309625574094,0.0038006439846051537,0.0031581314138193067,False,0.13660676847978193,0.13660676847978193,2.5560742902734224,0.056786885593710146,False,-0.0009710180438081296,0.03448447653582635,2.4467961581412045,0.2872450681545175,0.2940028837988132,10914.9540390759,327957.94672413927,82.83288065056564,82.83288065056564,,0.0,0.0,False,0.0,False
stress_high_interest_spending,0.04,4,2033Q4,2033Q4,True,True,0.40926868046356435,0.38868109310786725,0.40926868046356435,0.38868109310786725,0.051838924811195786,0.05119641224040994,False,0.7820810492431916,0.7820810492431916,2.3559163748741683,0.09385680761865611,False,0.0,0.39353112791345474,2.535780513649061,1.1224418152302442,1.0171210193158255,556622.235103732,4947009.582648773,62.81708911064023,62.81708911064023,,0.0,0.0,False,0.0,False
stress_full_domestic_interest_spending,0.04,4,2031Q3,2031Q3,True,True,2.084367070822984,2.063779483467287,2.084367070822984,2.063779483467287,0.23443957998793685,0.23379706741715123,False,0.99,0.99,0.7168976605693159,-0.10464928753705838,True,0.0,1.6638675417956903,1.4368698775482067,1.0436670308884828,0.8130650445756582,328801652.6534169,1531943343.8894167,3.649905459160907,-101.08478231984499,,0.0,0.0,False,0.0,True
