scenario,inflation_persistence,terminal_inflation_pct,peak_inflation_pct,terminal_debt_gdp_pct,terminal_output_gap_pct,max_accounting_residual_billions
reference,0.98,2.05875873556971,2.374108660242924,172.77454837677658,0.0,2.9103830456733704e-11
persistent,0.98,8.03938969812712,8.03938969812712,255.60742902734225,3.448447653582635,5.820766091346741e-11
faster_fading,0.9,2.8898912663319596,3.14659546107081,259.9205450225293,1.433645598776348,5.820766091346741e-11
