scenario,inflation_ceiling,sustained_breach_quarters,first_inflation_ceiling_breach,first_sustained_inflation_ceiling_breach,inflation_ceiling_breached,inflation_ceiling_breached_sustained,peak_inflation_rate,peak_inflation_deviation_from_reference,terminal_inflation_rate,terminal_inflation_deviation_from_reference,terminal_four_quarter_inflation_change,terminal_four_quarter_inflation_deviation_change,terminal_inflation_pressure_nonincreasing,peak_policy_rate,peak_short_issuance_rate,terminal_debt_gdp_ratio,terminal_four_quarter_debt_gdp_change,terminal_debt_gdp_nonincreasing,minimum_output_gap,maximum_output_gap,peak_gross_issuance_gdp_ratio_annualized,peak_interest_gdp_ratio_annualized,peak_total_deficit_gdp_ratio_annualized,peak_incremental_cash_interest_billions,cumulative_incremental_cash_interest_billions,peak_debt_gdp_gap_from_reference_percentage_points,terminal_debt_gdp_gap_from_reference_percentage_points,first_positive_debt_yield_feedback,peak_debt_yield_long_adjustment_basis_points,terminal_debt_yield_long_adjustment_basis_points,private_absorption_market_clearing_enabled,peak_private_absorption_market_clearing_spread_basis_points,rate_bound_ever_binding
no_shock_central_debt_yield_feedback,0.04,4,,,False,False,0.02374108660242924,0.0,0.0205875873556971,0.0,0.000642512570785847,0.0,True,0.03278,0.03278,1.727745483767766,0.03134187081015005,False,0.0,0.0,1.6540892754868837,0.06926135693079213,0.09101989495720317,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.0,False
stress_no_feedback,0.04,4,2037Q3,2037Q3,True,True,0.0803938969812712,0.059806309625574094,0.0803938969812712,0.059806309625574094,0.0038006439846051537,0.0031581314138193067,False,0.13660676847978193,0.13660676847978193,2.5560742902734224,0.056786885593710146,False,-0.0009710180438081296,0.03448447653582635,2.4467961581412045,0.2872450681545175,0.2940028837988132,10914.9540390759,327957.94672413927,82.83288065056564,82.83288065056564,,0.0,0.0,False,0.0,False
stress_lower_estimate,0.04,4,2037Q3,2037Q3,True,True,0.10118511344494878,0.08059752608925168,0.10118511344494878,0.08059752608925168,0.0066588071764584755,0.0060162946056726285,False,0.17671798044439022,0.17671798044439022,2.78540322537777,0.08151628342108275,False,-0.0009709985882249083,0.055258259121532254,2.7023174481246905,0.4013512175030463,0.3995456503544931,19244.11849967965,460798.2917382055,105.7657741610004,105.7657741610004,2027Q1,313.426525963976,313.426525963976,False,0.0,False
stress_central_estimate,0.04,4,2037Q3,2037Q3,True,True,0.11260714259222342,0.09201955523652632,0.11260714259222342,0.09201955523652632,0.008424401446478907,0.00778188887569306,False,0.19920293093004943,0.19920293093004943,2.9047025075653194,0.09574472804626932,False,-0.0009709895735015724,0.06784244365375414,2.8402366927651026,0.46894684646727736,0.46211586754235773,24952.77486619122,541080.5305357861,117.69570237975535,117.69570237975535,2027Q1,464.13386729132907,464.13386729132907,False,0.0,False
stress_upper_estimate,0.04,4,2037Q3,2037Q3,True,True,0.12586586206499006,0.10527827470929296,0.12586586206499006,0.10527827470929296,0.01063679764665,0.009994285075864154,False,0.2256900664916356,0.2256900664916356,3.0380087419118156,0.11270892505380825,False,-0.0009709805587782365,0.08346347816691663,2.998789406463558,0.551509288595578,0.5386025463130883,32699.980313027118,641042.9582661431,131.02632581440497,131.02632581440497,2027Q1,644.5920175076407,644.5920175076407,False,0.0,False
