scenario,inflation_ceiling,sustained_breach_quarters,first_inflation_ceiling_breach,first_sustained_inflation_ceiling_breach,inflation_ceiling_breached,inflation_ceiling_breached_sustained,peak_inflation_rate,peak_inflation_deviation_from_reference,terminal_inflation_rate,terminal_inflation_deviation_from_reference,terminal_four_quarter_inflation_change,terminal_four_quarter_inflation_deviation_change,terminal_inflation_pressure_nonincreasing,peak_policy_rate,peak_short_issuance_rate,terminal_debt_gdp_ratio,terminal_four_quarter_debt_gdp_change,terminal_debt_gdp_nonincreasing,minimum_output_gap,maximum_output_gap,peak_gross_issuance_gdp_ratio_annualized,peak_interest_gdp_ratio_annualized,peak_total_deficit_gdp_ratio_annualized,peak_incremental_cash_interest_billions,cumulative_incremental_cash_interest_billions,peak_debt_gdp_gap_from_reference_percentage_points,terminal_debt_gdp_gap_from_reference_percentage_points,first_positive_debt_yield_feedback,peak_debt_yield_long_adjustment_basis_points,terminal_debt_yield_long_adjustment_basis_points,private_absorption_market_clearing_enabled,peak_private_absorption_market_clearing_spread_basis_points,rate_bound_ever_binding,terminal_output_gap,maximum_debt_identity_residual_billions
no_shock,0.04,4,,,False,False,0.02374108660242924,0.0,0.0205875873556971,0.0,0.000642512570785847,0.0,True,0.03278,0.03278,1.727745483767766,0.03134187081015005,False,0.0,0.0,1.6540892754868837,0.06926135693079213,0.09101989495720317,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.0,False,0.0,2.9103830456733704e-11
no_shock_with_debt_yields_and_capacity,0.04,4,,,False,False,0.02374108660242924,0.0,0.0205875873556971,0.0,0.000642512570785847,0.0,True,0.03278,0.03278,1.727745483767766,0.03134187081015005,False,0.0,0.0,1.6540892754868837,0.06926135693079213,0.09101989495720317,0.0,0.0,0.0,0.0,,0.0,0.0,True,0.0,False,0.0,2.9103830456733704e-11
original_500bp,0.04,4,2037Q3,2037Q3,True,True,0.0803938969812712,0.059806309625574094,0.0803938969812712,0.059806309625574094,0.0038006439846051537,0.0031581314138193067,False,0.13660676847978193,0.13660676847978193,2.5560742902734224,0.056786885593710146,False,-0.0009710180438081296,0.03448447653582635,2.4467961581412045,0.2872450681545175,0.2940028837988132,10914.9540390759,327957.94672413927,82.83288065056564,82.83288065056564,,0.0,0.0,False,0.0,False,0.03448447653582635,5.820766091346741e-11
smaller_100bp,0.04,4,,,False,False,0.026580680032855613,0.005993092677158512,0.026580680032855613,0.005993092677158512,0.0008299693094758129,0.00018745673868996587,False,0.041473859530599996,0.045517243410962034,1.8504062885724006,0.033558545199308565,False,-0.00390594550196661,0.003253075718361872,1.770680150881669,0.08791659023968984,0.1084015011876706,454.8076499513909,23490.40813508162,12.26608048046347,12.26608048046347,,0.0,0.0,False,0.0,False,0.002838315631278656,2.9103830456733704e-11
inflation_persistence_090,0.04,4,,,False,False,0.0314659546107081,0.010580929204560701,0.028898912663319596,0.008311325307622495,0.0007416589152081099,9.914634442226289e-05,False,0.056022928565693325,0.10452182653694757,2.5992054502252935,0.04696405522174052,False,-0.0009710180438081296,0.022052435666993504,2.4865925489079967,0.14976472008966782,0.160700254311186,2087.0072812188628,134228.7277097274,87.14599664575276,87.14599664575276,,0.0,0.0,False,0.0,False,0.01433645598776348,5.820766091346741e-11
monetary_transmission_050,0.04,4,2039Q4,2039Q4,True,True,0.0507603164309001,0.030172729075203,0.0507603164309001,0.030172729075203,0.0015421875523877748,0.0008996749816019278,False,0.08306741407362567,0.10948711686378217,2.580656175132265,0.051389175119912256,False,-0.0009819713611590383,0.016796149044410662,2.461728073675919,0.20074133856677817,0.2162209055658084,4910.446867984148,208715.52210090522,85.2910691364499,85.2910691364499,,0.0,0.0,False,0.0,False,0.014150717719912904,5.820766091346741e-11
half_interest_spending,0.04,4,,,False,False,0.03572403498217762,0.015136447626480518,0.03572403498217762,0.015136447626480518,0.0008558391592071515,0.00021332658842130453,False,0.05675830710649564,0.09712569592417544,2.558013306676981,0.04528331587680512,False,-0.002674582573049056,0.010014109528026558,2.443403807699589,0.15207104047288597,0.17114593560180882,2462.600131384072,138176.48002634375,83.0267822909215,83.0267822909215,,0.0,0.0,False,0.0,False,0.005999429385662166,5.820766091346741e-11
half_treasury_premium_to_private_credit,0.04,4,2040Q4,2040Q4,True,True,0.07013789487425177,0.04955030751855467,0.07013789487425177,0.04955030751855467,0.0033217954923828313,0.0026792829215969843,False,0.11860164321770654,0.11860164321770654,2.5089642537604093,0.050786993725674634,False,-0.0065037300037131505,0.02875541070055461,2.40448072392306,0.250022409198842,0.259202704933008,7364.706119905171,239309.57387619943,78.12187699926434,78.12187699926434,,0.0,0.0,False,0.0,False,0.02875541070055461,5.820766091346741e-11
combined_macro_alternative,0.04,4,,,False,False,0.02820148623416125,0.007157838405504418,0.02591662103957743,0.005329033683880328,0.0006759367502038351,3.342417941798806e-05,False,0.04789065661917864,0.093775608732742,2.568440522201368,0.043311224749438715,False,-0.0063496736829086,0.014053028725107233,2.459496902219518,0.14255991338509916,0.15745807975366344,1521.9099281157814,109308.93708054986,84.06950384336022,84.06950384336022,,0.0,0.0,False,0.0,False,0.009035515458068102,5.820766091346741e-11
