issuance_rate_shock_basis_points,terminal_debt_gdp_ratio,terminal_interest_gdp_ratio,cumulative_additional_interest_billions,required_fiscal_adjustment_gdp_share,fiscal_closure_status,reference_debt_gdp_ratio,reference_crossing_quarter
0.0,1.6724932254956435,0.06704100865290447,0.0,0.029220811278910273,solved,2.1,
100.0,1.7807558148323301,0.08771347863756071,9874.50398923063,0.04111566963031637,solved,2.1,
250.0,1.959140167728927,0.12356001106354088,26144.731914555727,0.057747246678644275,solved,2.1,
500.0,2.3050928101806765,0.1986652232531779,57698.66729430987,0.08261882599801419,solved,2.1,2053Q3
750.0,2.7231938681094525,0.29778612833418633,95833.17515814689,0.10445962839798675,solved,2.1,2051Q4
1000.0,3.2291056247714045,0.4278453254594936,141976.79402007133,0.12385890455193965,solved,2.1,2050Q4
