scenario,quarter,debt_held_by_public_trillions,debt_gdp_ratio,effective_marketable_rate,interest_gdp_ratio,primary_deficit_gdp_ratio,total_deficit_gdp_ratio,quarterly_net_new_borrowing_trillions,quarterly_gross_issuance_trillions,cumulative_interest_trillions
long_term_baseline,2026Q4,32.69031151605778,0.996245299253854,0.03242722436592475,0.0334296584224318,0.023755088887523573,0.057184747309955375,0.4589764389132783,8.124492456923168,0.27423616164693104
long_term_baseline,2030Q4,41.06625194911694,1.0729903358059727,0.03606179736556742,0.03987680094913104,0.019264690906148917,0.059141491855279955,0.5392553105270961,9.430367382177371,5.572905094706088
long_term_baseline,2036Q3,56.42454467746447,1.1913144103087099,0.037459537919662625,0.04621048332770718,0.020502195561477185,0.06671267888918436,0.7475358055273912,13.387263148802711,16.303877323053616
long_term_baseline,2040Q4,71.41647432665198,1.2890125985157364,0.03779345326450381,0.05047734325649547,0.01972490666882634,0.07020224992532181,0.9385870765399595,17.48478279989821,26.925691692241124
long_term_baseline,2046Q4,99.08847794626789,1.436792622942885,0.03816840483069476,0.05711436515964513,0.02074958618342646,0.07786395134307159,1.2909727218653406,24.09076626386097,47.116145809357036
long_term_baseline,2050Q4,123.01560332752688,1.5487125589010662,0.03834140270495146,0.061854407198037586,0.021517595342075004,0.0833720025401126,1.5908159420297228,29.220565062234783,64.85513870311604
long_term_baseline,2055Q4,160.91776752308118,1.7044940315824668,0.038380746776854706,0.06825199389768105,0.022339303621313568,0.09059129751899463,2.051761108535873,38.57121250928527,93.31328423867032
long_term_baseline,2056Q3,167.4665987075478,1.727745483767766,0.0383712253182478,0.06926135693079213,0.02175853802641103,0.09101989495720317,2.1135993776870325,40.08181580083555,98.28035972313695
passing_the_buck_500bp,2026Q4,32.69948687636175,1.0063006347692809,0.04609959276180814,0.03488705440772952,0.023988121653434096,0.05887517606116361,0.468151799217246,8.133667817227137,0.28341152195089875
passing_the_buck_500bp,2030Q4,45.14823273490246,1.2476700921930532,0.07066091816483919,0.0869393642455915,0.0203755955724018,0.10731495981799329,0.9427129529189844,10.630022748283638,9.654885880491612
passing_the_buck_500bp,2036Q3,77.06153216807223,1.7208548416115894,0.08400380370768994,0.14332519131245025,0.02168446133613357,0.16500965264858383,1.796681883156701,18.83314711239149,36.94086481366137
passing_the_buck_500bp,2040Q4,116.05179660987848,2.2154343780513495,0.08593679290693562,0.1890988125352849,0.02086234982670268,0.2099611623619876,2.69758247326,28.926115202411342,71.56101397546763
passing_the_buck_500bp,2046Q4,206.1932177243038,3.162230874550522,0.08784850594738743,0.2768900031258119,0.021946117818752477,0.2988361209445644,4.772539972500573,51.12756556840878,154.22088558739293
passing_the_buck_500bp,2050Q4,301.6001281494413,4.015969515619786,0.0883254479226904,0.35372335659893656,0.02275841447530192,0.37648177107423847,6.924462128424478,74.1567454305684,243.43966352503043
passing_the_buck_500bp,2055Q4,483.33702691809435,5.414892248160336,0.08861851448496065,0.47893742052835553,0.02362750682969393,0.5025649273580495,10.984109201590389,119.23828913925661,415.73254363368363
passing_the_buck_500bp,2056Q3,518.5384338660808,5.658232447488399,0.08861559953574305,0.500723226775102,0.02301325119788816,0.5237364779729902,11.746638459823902,127.84935024669018,449.3521948816701
