scenario,starting_debt_gdp_ratio,target_debt_gdp_ratio,closure_horizon_quarters,required_additional_cumulative_price_level_increase,total_episode_cumulative_price_level_increase,additional_annualized_inflation_during_episode,total_annualized_inflation_during_episode,nominal_debt_beginning_billions,nominal_debt_end_billions,nominal_gdp_beginning_billions_saar,nominal_gdp_end_billions_saar,gross_principal_refinanced_during_episode_billions,gross_refinancing_share_of_starting_marketable_debt,marketable_debt_repriced_share_at_episode_end,increase_in_tips_principal_compensation_billions,cumulative_interest_cost_relative_to_baseline_billions,terminal_debt_gdp_improvement_vs_baseline_percentage_points,rate_response_assumption,primary_deficit_treatment,inflation_shape,inflation_duration_quarters,best_sampled_value,best_sampled_terminal_debt_gdp_ratio,upper_boundary_terminal_debt_gdp_ratio,decomposition_order,denominator_effect_percentage_points,tips_indexation_effect_percentage_points,refinancing_interest_effect_percentage_points,primary_deficit_scaling_effect_percentage_points,other_financing_effect_percentage_points
rate_cap_fixed_nominal_deficits,1.7208548416115894,1.7208548416115894,40,5.0,5.624044252019782,0.43096908110525556,0.45956904796838405,77061.53216807223,202583.9431830815,44780.96019760952,387763.6706918856,436126.43709887087,5.702581876729371,0.6763384297250937,35793.97371636322,55510.297361065815,175.32790798476415,Isolation experiment: no additional interest-rate response.,unchanged nominal baseline path,multi_year,20,5.0,0.5224417821855554,0.5224417821855554,,,,,,
rate_cap_deficits_scale_with_gdp,1.7208548416115894,1.7208548416115894,40,5.0,5.624044252019782,0.43096908110525556,0.45956904796838405,77061.53216807223,251247.16207932337,44780.96019760952,387763.6706918856,447820.1032608272,5.855482694142047,0.6990983367926852,36379.69481469132,62440.23170990738,162.77819727839184,Isolation experiment: no additional interest-rate response.,constant share of scenario GDP,multi_year,20,5.0,0.6479388892492786,0.6479388892492786,,,,,,
rate_cap_five_year_inflation_endpoint_reset,1.7208548416115894,1.7208548416115894,40,0.4022717602472421,0.5481183655392305,0.06995727896517412,0.09134190783481477,77061.53216807223,155952.48294493917,44780.96019760952,90625.00751017357,430290.26624223014,5.626270882197685,0.7222865484074533,3121.156102391207,5283.932370885777,55.48660204219351,Isolation experiment: no additional interest-rate response.,constant share of scenario GDP,multi_year,20,,,,denominator -> TIPS -> refinancing/rates -> deficit scaling -> other,-65.28393874522966,5.186637225004964,0.0,4.610699478031188,0.0
rate_cap_persistent_inflation_deficits_scale_with_gdp,1.7208548416115894,1.7208548416115894,40,0.3863669459031558,0.6895414315216633,0.03320814113824677,0.05384535251182321,77061.53216807223,154183.64229786606,44780.96019760952,89597.12264488456,1024801.8867880825,13.399822092213437,0.9311804962065476,3952.0157798426735,4815.37068487623,55.486602042217584,Isolation experiment: no additional interest-rate response.,constant share of scenario GDP,multi_year,40,,,,denominator -> TIPS -> refinancing/rates -> deficit scaling -> other,-63.42212080215661,5.015149049807421,0.0,2.9203697101316095,0.0
continued_stress_full_pass_through,1.7208548416115894,1.7208548416115894,40,0.46875,0.6215108325256755,0.0799150058822331,0.10149865418815707,77061.53216807223,289867.5909799823,44780.96019760952,94921.31522145112,483957.7413056371,6.328001262731872,0.7912656523029147,4084.512305573817,84366.08198430084,6.135425956126461,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1.",constant share of scenario GDP,multi_year,20,0.46875,3.05376711546529,3.8399954238443645,,,,,,
