scenario,status,starting_debt_gdp_ratio,required_extra_cumulative_price_change,additional_annualized_inflation,total_episode_cumulative_price_change,fixed_dollar_real_loss_vs_baseline,required_fiscal_adjustment_gdp_share,required_yield_suppression_basis_points,interest_savings_vs_continued_stress_billions,terminal_debt_billions,terminal_nominal_gdp_billions_saar,terminal_debt_gdp_ratio,final_four_quarter_debt_gdp_change,terminal_effective_marketable_rate,terminal_interest_gdp_ratio,terminal_total_deficit_gdp_ratio,terminal_repriced_share,cumulative_interest_billions
continued_500bp_stress,simulation,1.7208548416115894,,,,,,,0.0,201321.81650517497,64627.27844864755,3.1151213750265545,0.18054798265508554,0.08781740917392088,0.2725911429601531,0.2937284209454152,0.9479149532345595,112766.36862710273
rate_cap_only,simulation,1.7208548416115894,,,,,,,54248.17068315931,147073.64582201565,64627.27844864755,2.275720862033197,0.03780811248268767,0.040980871557366454,0.09696498572899799,0.11810226371426007,0.9286269369939414,58518.197943943414
rate_cap_plus_inflation_fixed_nominal_deficits,no_solution,1.7208548416115894,,,,,,,-1262.1266779065045,202583.9431830815,387763.6706918856,0.5224417821855554,0.007345044241807264,0.035607567781597696,0.022068041680555595,0.02559092134476594,0.9406361058615149,114028.49530500923
rate_cap_plus_inflation_deficits_scale_with_gdp,no_solution,1.7208548416115894,,,,,,,-8192.061026748066,251247.16207932337,387763.6706918856,0.6479388892492786,0.025720504689733747,0.03618342406168182,0.026940236412435845,0.04807751439769794,0.9521608305434245,120958.42965385079
rate_cap_plus_persistent_inflation_deficits_scale_with_gdp,solved,1.7208548416115894,0.3863669459031558,0.03320814113824677,0.6895414315216633,0.2786902465071793,,,49432.79999828308,154183.64229786606,89597.12264488456,1.7208548416110212,-0.01626481223333598,0.040331026128529714,0.07932467280144072,0.10046195078670275,0.9311804962065476,63333.568628819645
continued_stress_plus_inflation_and_full_pass_through,no_solution,1.7208548416115894,,,,,,,-84366.08198430084,289867.5909799823,94921.31522145112,3.05376711546529,0.2237389086731585,0.1010636501150551,0.31004612520719754,0.33118340319245965,0.9633596066724529,197132.45061140356
fiscal_closure_after_rate_cap,solved,1.7208548416115894,,,,,0.054442698049187756,,60494.11030481278,111214.16501853547,64627.27844864755,1.7208548416115894,-0.019019987580484177,0.04166524576760564,0.07518694594258965,0.04188152587866399,0.9054924475086426,52272.25832228995
fiscal_closure_under_continued_stress,solved,1.7208548416115894,,,,,0.10858506529628668,,32904.11637097054,109353.97959673738,64627.27844864755,1.6920715558775912,0.0009999994546989743,0.0869170961238204,0.14883398186291644,0.061386194551891864,0.9038761966421834,79862.25225613218
financial_repression_under_continued_stress,no_solution,1.7208548416115894,,,,,,,80322.91500009049,120998.90150508445,64627.27844864755,1.8722574183783625,-0.01744792258735406,0.01278512665389748,0.028143548572191944,0.04928082655745402,0.9131719123757304,32443.45362701223
