quarter,annual_real_gdp_growth_rate,annual_inflation_rate,annual_tips_reference_inflation_rate,primary_deficit_billions,other_financing_adjustment_billions,short_issuance_rate,intermediate_issuance_rate,long_issuance_rate,tips_real_issuance_rate,new_frn_spread,other_public_debt_interest_rate
2026Q4,0.01902398695529306,0.02374108660242924,0.02771554138299126,194.872,5.538,0.03278,0.04197,0.04197,0.0175,0.001,0.0341
2027Q1,0.017597408546793147,0.023296209984862815,0.026152401325720165,194.872,5.538,0.0326399999999999,0.04226,0.04226,0.0175,0.001,0.0341
2027Q2,0.01784876327045648,0.022616048740021766,0.02507028033791192,194.872,5.538,0.03252,0.04248,0.04248,0.0175,0.001,0.0341
2027Q3,0.01843999428756682,0.022248000239960097,0.024382592342289344,194.872,5.538,0.03242,0.0426499999999999,0.0426499999999999,0.0175,0.001,0.0341
2027Q4,0.01833909570101455,0.021945305341696475,0.024162847358085493,215.4585,2.14175,0.03234,0.04279,0.04279,0.0175,0.001,0.03526
2028Q1,0.018466116274653555,0.0216767083117837,0.023850744937782276,215.4585,2.14175,0.03226,0.0429,0.0429,0.0175,0.001,0.03526
2028Q2,0.017784392025415263,0.02150065998978512,0.023590801926968608,215.4585,2.14175,0.0321899999999999,0.043,0.043,0.0175,0.001,0.03526
2028Q3,0.01724012308766243,0.02106182624872388,0.023346411992499982,215.4585,2.14175,0.03213,0.04308,0.04308,0.0175,0.001,0.03526
2028Q4,0.01742186418178404,0.020775810233577552,0.02309377715644856,173.80475,-2.42575,0.03208,0.04315,0.04315,0.0175,0.001,0.03616
2029Q1,0.017680562926939647,0.020522825130940392,0.02297286568423096,173.80475,-2.42575,0.0320299999999999,0.04321,0.04321,0.0175,0.001,0.03616
2029Q2,0.01744428695602207,0.020418069374665837,0.022841686194156274,173.80475,-2.42575,0.03198,0.04327,0.04327,0.0175,0.001,0.03616
2029Q3,0.017620997896754975,0.020285549943514614,0.02275805762511629,173.80475,-2.42575,0.0319399999999999,0.04331,0.04331,0.0175,0.001,0.03616
2029Q4,0.017920813193843088,0.020183196343088072,0.022686563355431177,192.2015,-5.94,0.03191,0.04335,0.04335,0.0175,0.001,0.03692
2030Q1,0.017997333864965714,0.02008187040489151,0.022638322874940497,192.2015,-5.94,0.0318699999999999,0.04338,0.04338,0.0175,0.001,0.03692
2030Q2,0.017838848225115722,0.01995316485744958,0.022612820884429397,192.2015,-5.94,0.03185,0.04341,0.04341,0.0175,0.001,0.03692
2030Q3,0.017837173553037378,0.019938881222312688,0.022609552821165613,192.2015,-5.94,0.03182,0.04344,0.04344,0.0175,0.001,0.03692
2030Q4,0.01777342391157455,0.019839987430776862,0.02260563078501021,184.328,-9.2495,0.0318,0.04346,0.04346,0.0175,0.001,0.03775
