quarter,quarter_end,calendar_year,calendar_quarter,fiscal_year,nominal_gdp_billions_saar,real_gdp_billions_chained_saar,annual_real_gdp_growth_rate,annual_inflation_rate,annual_tips_reference_inflation_rate,primary_deficit_billions,marketable_interest_excluding_tips_inflation_billions,bills_interest_cost_billions,notes_interest_cost_billions,bonds_interest_cost_billions,tips_real_interest_cost_billions,frns_interest_cost_billions,other_public_debt_interest_billions,tips_inflation_compensation_billions,tips_deflation_floor_cost_billions,modeled_debt_interest_cost_billions,modeled_total_deficit_billions,other_financing_adjustment_billions,treasury_debt_management_adjustment_billions,beginning_debt_held_by_public_billions,debt_held_by_public_billions,debt_held_by_public_gdp_ratio,primary_deficit_gdp_ratio_annualized,modeled_interest_gdp_ratio_annualized,modeled_total_deficit_gdp_ratio_annualized,marketable_debt_billions,other_public_debt_billions,bills_outstanding_billions,notes_outstanding_billions,bonds_outstanding_billions,nominal_fixed_rate_debt_outstanding_billions,tips_outstanding_billions,frns_outstanding_billions,bill_share_of_marketable_debt,weighted_average_remaining_maturity_quarters,principal_maturing_next_four_quarters_billions,principal_maturing_next_eight_quarters_billions,share_marketable_debt_maturing_next_four_quarters,share_marketable_debt_maturing_next_eight_quarters,principal_maturing_billions,principal_refinanced_billions,treasury_buyback_operation_count,treasury_buyback_cash_limit_billions,treasury_buyback_face_value_limit_billions,treasury_buyback_cash_spent_billions,treasury_buyback_face_value_retired_billions,treasury_buyback_premium_or_discount_billions,treasury_buyback_unfilled_cash_limit_billions,treasury_buyback_unfilled_face_value_limit_billions,treasury_buyback_weighted_price_per_dollar_face,treasury_buyback_notes_retired_billions,treasury_buyback_bonds_retired_billions,treasury_buyback_financing_issuance_billions,treasury_buyback_financing_instrument,frn_principal_reset_billions,principal_repriced_or_reset_billions,net_new_borrowing_requirement_billions,genuinely_new_borrowing_billions,debt_repayment_billions,gross_treasury_issuance_billions,new_borrowing_bill_share,new_borrowing_note_share,new_borrowing_bond_share,new_borrowing_tips_share,new_borrowing_frn_share,average_effective_marketable_rate_excluding_tips_inflation,average_effective_debt_cost_rate_including_tips_inflation,average_new_issuance_stated_rate,share_marketable_debt_repriced_since_scenario_start,cumulative_modeled_interest_billions,debt_identity_residual_billions,primary_balance_adjustment_billions,primary_balance_adjustment_gdp_share,short_issuance_rate,intermediate_issuance_rate,long_issuance_rate,stage
2042Q1,2042-03-31,2042,1,2042,68872.1008184371,31237.21405496881,0.0125,0.04675,0.047625,-358.87569200657634,3077.3590980326767,456.76422978741556,1819.5106531534368,539.3167454365557,213.6443117086012,48.12315794666725,9.154251747790608,153.3218155118156,0.0,3239.835165292283,2880.9594732857067,0.0,0.0,139856.17340213194,142737.13287541765,2.0724957011505425,-0.02084302280557152,0.18816531668364483,0.16732229387807332,142154.36883842302,582.7640369946275,29820.47398972972,71734.52123405824,23930.097685618988,95664.61891967722,13450.233081501252,3219.0428475148133,0.20977529029462735,19.830977785690997,40176.38069953303,50780.44623738688,0.2826250155223771,0.3572204403728561,31963.95381986808,31963.95381986808,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3155.6169145355575,35119.570734403635,2727.637657773891,2727.637657773891,0.0,34691.59147764197,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08646741888027436,0.09266191363542327,0.06011231451362608,0.5662767437972879,34819.626414555416,0.0,649.1883795065763,0.03770399751376762,0.06,0.065,0.0675,conditional_recovery
2042Q2,2042-06-30,2042,2,2042,69929.98187900687,31363.349182359398,0.01625,0.045875,0.04675,-428.7709114737881,3073.3538153813397,447.3071098459458,1816.2653997740354,548.274528428963,214.42827568749473,47.078501644904144,8.996419821104562,154.51651562742904,0.0,3236.866750829873,2808.095839356085,0.0,0.0,142737.13287541765,145545.22871477372,2.0812993912481867,-0.024525727017384286,0.18514901127418068,0.16062328425679637,144962.4646777791,582.7640369946275,30392.084289798924,73109.55609172156,24388.798990080923,97498.35508180248,13791.278608863662,3280.746697314025,0.20965485346399224,19.775071617997636,40632.32606699358,51499.918914626985,0.28029549688818167,0.3552638197005026,32458.215158674437,32458.21515867444,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3219.0428475148133,35677.25800618925,2653.579323728656,2653.579323728656,0.0,35111.7944824031,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08454385076956128,0.09070847047642583,0.057790790079832434,0.5895645489458751,38056.49316538529,0.0,719.0835989737881,0.04113163365138286,0.0575,0.0625,0.06525,conditional_recovery
2042Q3,2042-09-30,2042,3,2042,71054.65436940354,31519.003338257946,0.02,0.045,0.045875,-501.2231909525661,3064.279475589886,436.88621166585955,1808.9187700784073,556.5334275595985,216.01061252362504,45.93045376239635,8.838587894418518,155.5183249005454,0.0,3228.63638838485,2727.4131974322836,0.0,0.0,145545.22871477372,148272.64191220602,2.086740738211977,-0.028216205984017573,0.18175509638536028,0.1535388904013427,147689.8778752114,582.7640369946275,30946.09885672304,74442.26360430781,24833.380210027863,99275.64381433566,14127.584070809546,3340.5511333431205,0.20953432491067897,19.71507143704679,41148.98330848767,52318.37996536498,0.2786174916012589,0.3542448590117374,33098.56601978293,33098.56601978293,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3280.746697314025,36379.31271709695,2571.894872531738,2571.894872531738,0.0,35670.460892314666,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08257011958449136,0.08873218083189899,0.05522475484757727,0.6121908144344379,41285.12955377014,0.0,791.5358784525661,0.044559269788998095,0.055,0.06,0.063,conditional_recovery
2042Q4,2042-12-31,2042,4,2043,72197.67275297998,31680.281121648983,0.020625,0.044375,0.045,-566.0110926294161,3050.329434787116,425.5088592799418,1798.310127779683,564.1464153330071,216.3270620881009,46.03697030638487,8.680755967732473,156.32158351943164,0.0,3215.33177427428,2649.320681644864,0.0,0.0,148272.64191220602,150921.96259385088,2.0903992724283698,-0.0313589660744877,0.17814046639843062,0.14678150032394294,150339.19855685625,582.7640369946275,31483.118402288907,75734.08881163907,25264.32339989479,100998.41221153387,14459.14694215154,3398.5210008819404,0.20941390338982296,19.57195503151547,41919.29100606017,53170.74395580317,0.27883141195678823,0.3536718598090352,33347.08456875456,33347.08456875456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3340.5511333431205,36687.63570209768,2492.9990981254327,2492.9990981254327,0.0,35840.08366687999,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.0811166249597941,0.08674106653277591,0.05438956243730776,0.6317589805699171,44500.46132804442,0.0,866.1357326294161,0.047986905926613324,0.054125,0.059,0.062125,conditional_recovery
2043Q1,2043-03-31,2043,1,2043,73359.32693877582,31847.257848215253,0.02125,0.04375,0.044375,-642.809410174296,3050.3594607942046,426.00594588097175,1789.097595618509,571.4161326950976,217.74734552516585,46.09244107446132,8.522924041046426,157.8039573290126,0.0,3216.6863421642634,2573.8769319899675,0.0,0.0,150921.96259385088,153495.83952584083,2.0923834218646156,-0.03504990773488265,0.17539344900745032,0.14034354127256768,152913.0754888462,582.7640369946275,32003.567211067864,76986.05234975896,25681.96903620271,102668.02138596168,14786.784791466802,3454.702100349859,0.2092925481274639,19.468498189595618,42644.237455552524,54038.14153287818,0.2788789468737295,0.3533912411356859,34117.47550064506,34117.47550064506,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3398.5210008819404,37515.996501527,2416.072974660955,2416.072974660955,0.0,36533.548475306015,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.07961867407301298,0.08525429399088195,0.05336494602207467,0.6519345512818189,47717.14767020868,-2.9103830456733704e-11,942.934050174296,0.05141454206422855,0.05325,0.057999999999999996,0.06125,conditional_recovery
2043Q2,2043-06-30,2043,2,2043,74539.91105281633,32020.011805827373,0.021875000000000002,0.043125,0.04375,-721.8581312770345,3045.246723165722,426.04748849734096,1777.01029306655,578.3610825223782,217.72917792790957,46.09868115154343,8.365092114360383,159.1428128572661,0.0,3212.7546281373484,2490.896496860314,0.0,0.0,153495.83952584083,155986.73602270117,2.0926606138847483,-0.03873673156199779,0.1724045324315402,0.1336678008695424,155403.97198570654,582.7640369946275,32505.852713175114,78194.32321858827,26085.03912608915,104279.36234467741,15109.83440989691,3508.922517957091,0.20917002505035637,19.3148714726742,43410.49122214293,54928.38187007617,0.2793396505086476,0.3534554565640592,34523.12516208506,34523.12516208506,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3454.702100349859,37977.82726243492,2331.7536840030475,2331.7536840030475,0.0,36854.878846088104,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.07814869530460004,0.0837222595234312,0.05261773440431413,0.6705163508852441,50929.90229834603,2.9103830456733704e-11,1021.9827712770345,0.05484217820184378,0.052375,0.056999999999999995,0.060375,conditional_recovery
2043Q3,2043-09-30,2043,3,2043,75739.72348905823,32198.624315090638,0.0225,0.042499999999999996,0.043125,-738.3082131363262,3037.684089339657,425.6235089631366,1762.2724444129715,584.9422433870803,218.79128452828223,46.05460804818683,8.207260187674338,160.3328261982738,0.0,3206.224175725605,2467.915962589279,0.0,0.0,155986.73602270117,158454.65198529043,2.092094408136856,-0.03899186208373133,0.16932853873905646,0.1303366766553251,157871.8879482958,582.7640369946275,33002.9316123179,79390.06936460327,26483.93106248304,105874.00042708631,15432.375012617376,3562.5808962741903,0.20904881826159324,19.18501760365563,44210.302243303995,55806.73967577139,0.2800391052381865,0.3534938385866932,35176.60116264418,35176.601162644176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3508.922517957091,38685.52368060127,2307.583136391005,2307.583136391005,0.0,37484.18429903518,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.076622529195605,0.08221786691553043,0.05165643139270556,0.689372396779626,54136.126474071636,-2.9103830456733704e-11,1038.4328531363262,0.05484217820184378,0.051500000000000004,0.055999999999999994,0.0595,conditional_recovery
2043Q4,2043-12-31,2043,4,2044,76959.06696067577,32383.179792472987,0.023125,0.041875,0.042499999999999996,-739.9034586262524,3025.6162037493805,424.912744508593,1745.1900599642258,591.2380284846245,218.2958110993988,45.979559692538764,8.049428260988293,161.41868116578533,0.0,3195.0843131761544,2455.180854549902,0.0,0.0,158454.65198529043,160909.83283984032,2.0908495801029057,-0.038456986959279287,0.16606668658333737,0.12760969962405808,160327.0688028457,582.7640369946275,33497.03332335067,80578.65374773787,26880.43388855206,107459.08763628993,15755.029948350913,3615.91789485418,0.20892936902964274,19.03140577515573,44786.84290748702,56928.62491912273,0.2793467331618308,0.3550780622648812,35634.853206779226,35634.85320677923,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3562.5808962741903,39197.43410305343,2293.7621733841165,2293.7621733841165,0.0,37928.61538016335,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.07526698262410125,0.08065611891212278,0.050852959346665956,0.7073857777669722,57331.21078724779,0.0,1055.1507161262523,0.05484217820184378,0.050625,0.055,0.058625000000000003,conditional_recovery
2044Q1,2044-03-31,2044,1,2044,78198.24855168173,32573.76581608212,0.02375,0.04125,0.041875,-756.8933130358505,3018.2776256337493,423.94682799865683,1732.0066319861287,597.4024621899274,219.04474516807167,45.87695829096242,7.891596334302248,162.40696766960792,0.0,3188.57618963766,2431.6828766018093,0.0,0.0,160909.83283984032,163341.51571644214,2.0888129688542665,-0.03871663762574502,0.16310217932977408,0.12438554170402906,162758.7516794475,582.7640369946275,33985.86042252398,81754.54980953448,27272.703985889337,109027.25379542382,16076.951948739546,3668.68551276016,0.20881126250869111,18.915644488118968,45418.92369320729,58082.97628675008,0.27905672183244323,0.3568654569257461,36340.22893052279,36340.22893052279,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3615.91789485418,39956.14682537697,2269.275908932201,2269.275908932201,0.0,38609.50483945499,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.07385942435915312,0.0792636753979198,0.049843689580665214,0.7260589047509166,60519.78697688545,0.0,1072.1405705358504,0.05484217820184378,0.04975,0.054,0.05775,conditional_recovery
2044Q2,2044-06-30,2044,2,2044,79457.5797688775,32770.47319416283,0.024375,0.040625,0.04125,-774.1594297929996,3006.7080964093257,422.69913900514206,1716.6755423848547,603.4110997863979,218.1783927457025,45.74392248722825,7.733764407616202,163.2889612262462,0.0,3177.730822043188,2403.571392250188,0.0,0.0,163341.51571644214,165745.08710869233,2.0859569041846466,-0.038972212949089986,0.15997118619955064,0.12099897325046065,165162.3230716977,582.7640369946275,34468.44200626876,82915.42199681852,27659.962231491685,110575.3842283102,16397.717893649467,3720.7789434692427,0.20869433999972167,18.76675900061288,46025.88478096135,59246.48112563678,0.2786706067398998,0.3587166856445681,36767.03638690092,36767.036386900916,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3668.68551276016,40435.721899661075,2240.282431023942,2240.282431023942,0.0,39007.31881792486,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.07243540199554004,0.07781808092339905,0.04909080372502816,0.7437330823971476,63697.51779892864,0.0,1089.4066872929995,0.05484217820184379,0.048875,0.053,0.056875,conditional_recovery
