quarter,debt_gdp_ratio,nominal_gdp_growth_quarterly,primary_contribution,interest_contribution,other_financing_contribution,growth_contribution,debt_ratio_change,decomposition_residual,stabilizing_primary_deficit_gdp_share_annualized,local_primary_improvement_gdp_share_annualized
2026Q4,0.996245299253854,0.010633372506799521,0.005938772221880893,0.00835741460560795,0.00016877191471723174,-0.010439636080512682,0.00402532266169342,2.6020852139652106e-17,0.007653798240750002,0.01610129064677357
2027Q1,1.0007205872909626,0.010169704088058396,0.005878984687273099,0.008458753131783401,0.00016707283343999355,-0.010029522615388031,0.004475288037108616,1.5439038936193583e-16,0.0056147866006585456,0.017901152148433852
2027Q2,1.005295140296016,0.010064167002773905,0.005820407137814001,0.008559806342811253,0.00016540813831239962,-0.009971068613884082,0.004574553005053383,-1.8908485888147197e-16,0.004983416531041718,0.018298212020214286
2027Q3,1.0098164582480542,0.010119904164408888,0.005762095285736159,0.008667038854428849,0.00016375099394683098,-0.010071567182073804,0.004521317952038251,2.1510571102112408e-16,0.004963109334792496,0.01808527180815214
2027Q4,1.0149697476547632,0.010020102286657284,0.006307606728980141,0.008801064354665811,6.27003191417058e-05,-0.010018081996078676,0.005153289406709005,2.42861286636753e-17,0.004617269289084635,0.02061315762683593
2028Q1,1.0201587382509802,0.009985222247177905,0.006245246554148546,0.008916165383979924,6.208043222870135e-05,-0.010034501774140336,0.005188990596217025,1.8908485888147197e-16,0.004225023831726842,0.020755962384867342
2028Q2,1.0255712068513825,0.009772663985072594,0.006184804537589334,0.009039365727456658,6.14796126325114e-05,-0.009873181277275878,0.0054124686004022315,-3.937822290467352e-16,0.003089343748746833,0.0216498744016105
2028Q3,1.031237084341528,0.00952918892730703,0.006126424679370694,0.009159166913523519,6.089929177564211e-05,-0.009680613394524418,0.005665877490145466,2.7755575615628914e-17,0.0018421887569010271,0.02266350996058175
2028Q4,1.0356390861565294,0.009503569800242584,0.004895502185567092,0.009282996272999475,-6.832531577324193e-05,-0.009708171327791781,0.0044020018150014995,-4.5102810375396984e-17,0.0019740014822621915,0.017608007260006175
2029Q1,1.040043885037181,0.009505177376088358,0.00484940770516057,0.009374319051685839,-6.768198648652152e-05,-0.009751245889708438,0.004404798880651484,3.469446951953614e-17,0.0017784352980364816,0.017619195522605796
2029Q2,1.0445373025833884,0.009420672108598982,0.004804149389006018,0.009462789423976242,-6.705032733789696e-05,-0.009706470939436773,0.004493417546207468,-1.231653667943533e-16,0.0012429273711937116,0.01797367018483036
2029Q3,1.0489959808898137,0.00943172277664761,0.004759261355281392,0.009525575938784819,-6.64238361297596e-05,-0.009759735151511295,0.004458678306425323,1.682681771697503e-16,0.0012023321954249442,0.017834713225700623
2029Q4,1.0538122684964644,0.009480746192125578,0.005213587252174209,0.009615688262978568,-0.00016112625696425263,-0.009851861651538174,0.004816287606650649,2.983724378680108e-16,0.001589198582095433,0.019265150426601402
2030Q1,1.0586137279394099,0.00947465006387116,0.005164653963172167,0.009687210146538129,-0.0001596139704489438,-0.00989079069631571,0.0048014594429455215,-1.196959198423997e-16,0.0014527780809061,0.01920583777178257
2030Q2,1.0634824185490557,0.009403515999620193,0.005116540492785554,0.009772231222411127,-0.00015812702048187028,-0.009861954085069291,0.004868690609645787,2.671474153004283e-16,0.0009913995325601375,0.019474762438582077
