scenario,confidence_premium_basis_points,includes_recession,starting_debt_gdp_ratio,terminal_debt_gdp_ratio,terminal_effective_marketable_rate,terminal_interest_gdp_ratio,terminal_total_deficit_gdp_ratio,terminal_repriced_share,cumulative_additional_interest_vs_baseline_billions,required_fiscal_adjustment_if_immediate_gdp_share,equivalent_adjustment_at_pinned_2025_gdp_billions
unchanged_baseline,0.0,False,1.3851108729453743,1.6724932254956435,0.03840042013745902,0.06704100865290447,0.08934690133997818,0.942762096015618,0.0,0.029220811278910273,904.918849928677
recession_only,0.0,True,1.3851108729453743,1.7621280447208465,0.03840042013745902,0.07063397309645103,0.094135317357369,0.942762096015618,0.0,0.036553067091792374,1131.9863476187538
rate_only_500bp,500.0,False,1.3851108729453743,2.3050928101806765,0.08646646584430744,0.1986652232531779,0.22097111594025162,0.9585138772814673,57698.66729430987,0.08261882599801419,2558.5645891543027
fiscal_scare_250bp,250.0,True,1.3851108729453743,2.0641374090296654,0.062253892172166606,0.13018202847222868,0.15368337273314667,0.9511641255563165,26144.731914555727,0.06081647868341315,1883.3829568115434
serious_crisis_500bp,500.0,True,1.3851108729453743,2.4286308755002706,0.08646646584430744,0.2093123942558323,0.2328137385167503,0.9585138772814673,57698.66729430987,0.08691036562942221,2691.4662759216358
loss_of_confidence_1000bp,1000.0,True,1.3851108729453743,3.4021648004518887,0.1356909183305415,0.4507750676069064,0.4742764118678244,0.9704087217569234,141976.79402007133,0.13006200530947604,4027.799199025447
