scenario,inflation_rate,inflation_duration_quarters,rate_regime,rate_shock_basis_points,rate_response_lag_quarters,first_shock_quarter_debt_gdp_difference_pp,shock_end_quarter,shock_end_debt_gdp_difference_pp,shock_end_nominal_debt_difference_billions,shock_end_nominal_gdp_difference_billions_saar,minimum_debt_gdp_difference_quarter,minimum_debt_gdp_difference_pp,end_debt_gdp_difference_pp,end_nominal_debt_difference_billions,end_nominal_gdp_difference_billions_saar,end_cumulative_interest_difference_billions,debt_gdp_benefit_erased_quarter
inflation_10pct_permanent_rates_plus_300bp,0.1,4,parallel shock through 2036Q3,300.0,0,-1.7755430450297371,2027Q4,-6.12546957040453,375.92880780421547,2588.0879703828687,2027Q4,-6.12546957040453,13.604519099956924,11206.870605127726,3588.5721141293834,11206.870605127719,2031Q4
inflation_10pct_permanent_rates_plus_500bp,0.1,4,parallel shock through 2036Q3,500.0,0,-1.7645109688913307,2027Q4,-5.683926388308946,538.1809425258543,2588.0879703828687,2027Q4,-5.683926388308946,30.884924375708422,20011.555215868837,3588.5721141293834,20011.55521586883,2030Q2
inflation_10pct_permanent_rates_plus_800bp,0.1,4,parallel shock through 2036Q3,800.0,0,-1.7479628546837267,2027Q4,-5.0136759048881485,784.4752488202066,2588.0879703828687,2027Q4,-5.0136759048881485,62.26481953292258,36000.18948506005,3588.5721141293834,36000.18948506004,2029Q2
