scenario,terminal_debt_gdp_ratio,cumulative_interest_billions,cumulative_gross_issuance_billions,cumulative_buyback_face_retired_billions,cumulative_buyback_cash_spent_billions,cumulative_buyback_premium_or_discount_billions,cumulative_unfilled_face_capacity_billions,terminal_bill_share_of_marketable_debt,terminal_weighted_average_remaining_maturity_years,terminal_share_maturing_next_four_quarters,maximum_share_maturing_next_four_quarters,maximum_absolute_debt_identity_residual_billions
fixed_issuance,1.7208548416115894,36940.86481366137,499656.10248271393,0.0,0.0,0.0,0.0,0.21276250720277531,5.067645843084082,0.2773306568223253,0.3235066864807714,1.4551915228366852e-11
adaptive_issuance,1.709030457131884,36411.35752291445,633558.85737209,0.0,0.0,0.0,0.0,0.327153492027759,4.106221433908942,0.3860228979798616,0.3910304887983439,1.4551915228366852e-11
adaptive_plus_one_quarter_long_end_capacity,1.7088243733743866,36415.52477759215,634336.0827723579,32.0,18.6041167804337,-13.395883219566299,0.0,0.32746087213370606,4.104727294552741,0.3861294547144385,0.39145065230001835,1.4551915228366852e-11
adaptive_plus_sustained_long_end_capacity,1.6988526422195993,36496.0454967401,648407.8341027789,1216.0,675.5397016886925,-540.4602983113075,64.0,0.3385407020412202,3.981714287123745,0.3972999196997771,0.4027130393614677,1.4551915228366852e-11
