plot_year,reference_debt_pct,reference_inflation_pct,persistent_debt_pct,persistent_inflation_pct,faster_fading_debt_pct,faster_fading_inflation_pct
2026.875,99.6245299253854,2.374108660242924,99.65249206201814,2.374108660242924,99.65249206201814,2.374108660242924
2027.125,100.07205872909626,2.3296209984862815,100.41173734489736,2.3296209984862815,100.41173734489736,2.3296209984862815
2027.375,100.5295140296016,2.2616048740021766,101.36211280434686,2.2616048740021766,101.36211280434686,2.2616048740021766
2027.625,100.98164582480543,2.2248000239960097,102.26543906450156,2.225851542461697,102.26543906450156,2.225851542461697
2027.875,101.49697476547632,2.1945305341696475,103.23276352047375,2.1904805572692374,103.23278427042699,2.1903964357919823
2028.125,102.01587382509803,2.16767083117837,104.22238187828938,2.157875745553119,104.22233539908692,2.1581240343756227
2028.375,102.55712068513824,2.150065998978512,105.27495345363242,2.1365859911845244,105.274675862102,2.137593057974798
2028.625,103.12370843415279,2.106182624872388,106.39444942722005,2.092155365371205,106.39369973810831,2.0941401226896437
2028.875,103.56390861565295,2.077581023357755,107.42739695601648,2.0660862605563026,107.42598746737801,2.0689942763800744
2029.125,104.00438850371809,2.052282513094039,108.49268599207058,2.046311072985675,108.49056380066699,2.0498494448693223
2029.375,104.45373025833884,2.0418069374665837,109.24696334529958,2.0442590776435803,109.24425370859771,2.0479265927036723
2029.625,104.89959808898138,2.0285549943514614,110.20395663970281,2.0422136611193387,110.20093889352505,2.045326205396142
2029.875,105.38122684964644,2.0183196343088072,111.31967391624895,2.0635857016437895,111.31679197533526,2.0653016451463797
2030.125,105.86137279394099,2.008187040489151,112.50337096562839,2.0947643668189837,112.50162031073043,2.092690359057469
2030.375,106.34824185490557,1.995316485744958,113.73332863599978,2.1273239999007805,113.73429565072976,2.1185265687698314
2030.625,106.8352948164359,1.9938881222312688,114.99303256132458,2.1730672942439075,114.9989920993437,2.154574912501713
2030.875,107.29903358059727,1.9839987430776862,116.255747803634,2.211478981291523,116.26942551500063,2.180477507216653
2031.125,107.76142845022507,1.9825983901398558,117.53367185356515,2.2595147652523977,117.5581079279142,2.2133742420599134
2031.375,108.226210253853,1.9811706497828263,118.84322774720344,2.3088416472853153,118.88166117742243,2.245099282731725
2031.625,108.69410993775001,1.9797160110517797,120.17759746555076,2.359584152891277,120.23354536986521,2.2759198018526625
2031.875,109.18024696213642,1.9727225080271582,121.55495827124024,2.4059110121055722,121.63219911926302,2.3001311007382723
2032.125,109.66643352945691,1.968526656714742,122.95241187117998,2.456149162203424,123.0550621307396,2.3262027370541425
2032.375,110.1522726863776,1.9670742729964719,124.37397849357748,2.510194920751393,124.50640453528014,2.354161549009667
2032.625,110.63473678413438,1.971028327301072,125.81205373850256,2.5707894369875492,125.97896143609333,2.386868497167729
2032.875,111.24100904461487,1.9775810181523301,127.39733358052503,2.6351048385000726,127.6036225347964,2.421596393038347
2033.125,111.84384673705607,1.9759214646802636,129.02672394319478,2.6924236053141235,129.27685453012424,2.447716651471523
2033.375,112.44427728800859,1.974238719039123,130.6832243440727,2.7509131467726635,130.98237679538525,2.473468992299663
2033.625,113.04229073953125,1.9698696995388953,132.373186449994,2.8079573030978406,132.72657751775054,2.4963011881401136
2033.875,113.5839951988789,1.9681678339410258,134.05364672192027,2.8699079175966933,134.4663570891852,2.5225865478456213
2034.125,114.12956114037247,1.9664438509282567,135.75668067564018,2.93466604675264,136.2339459970008,2.550172436040154
2034.375,114.66822314623337,1.9646981729401825,137.50213883659086,3.002417127255619,138.04915550204834,2.5791566172223006
2034.625,115.20095511869108,1.968155262857385,139.27461656681953,3.0785233840065525,139.89693299500206,2.614806436076274
2034.875,115.64370894942424,1.968916041410429,140.98930719424794,3.1540086521645443,141.6924182229718,2.6480488797579085
2035.125,116.0831183022299,1.9722056747187633,142.72231977901077,3.233765604893445,143.5126151311004,2.683764963159073
2035.375,116.52025373941784,1.972826196496369,144.4838419477287,3.3124806962718445,145.36683874852298,2.716659689464239
2035.625,116.95493535626886,1.973390522034224,146.26664651736255,3.392892559190127,147.24864835939022,2.7494916805573464
2035.875,117.50302214987325,1.9764486694536787,148.1895673954757,3.477459684013642,149.27697825940837,2.7847577866882056
2036.125,118.0487862747917,1.9743412449576114,150.1342137174459,3.5586409049011074,151.33447427462954,2.814934727056601
2036.375,118.59116115939372,1.9772661061247865,152.10462160877938,3.646640274520051,153.4244372649958,2.8502364657484183
2036.625,119.13144103087099,1.977588746711989,154.09541227111788,3.7338679280329865,155.5424709850409,2.8830797091782476
2036.875,119.70940642333909,1.980359078796723,156.1045350713242,3.8253482959757887,157.68680255706556,2.9185143619604546
2037.125,120.31064303908528,1.893970235169573,157.74574809210324,3.8296203630500893,159.4682834414576,2.865079156634708
2037.375,120.90798430535936,1.893970235169662,159.8042725194561,3.9222276336387334,161.68561672203953,2.89831052649735
2037.625,121.50187588695889,1.893970235169573,161.63793029245593,4.01518530297161,163.68164087417617,2.9301911113664536
2037.875,122.11134195216806,1.893970235169573,163.34773462754356,4.091858571611484,165.55961453457547,2.9440319969553173
2038.125,122.66764526025756,2.0613213981166334,164.9116795279863,4.32754324416629,167.2982066980952,3.116705570993924
