scenario,inflation_ceiling,sustained_breach_quarters,first_inflation_ceiling_breach,first_sustained_inflation_ceiling_breach,inflation_ceiling_breached,inflation_ceiling_breached_sustained,peak_inflation_rate,terminal_inflation_rate,terminal_four_quarter_inflation_change,peak_policy_rate,peak_short_issuance_rate,terminal_debt_gdp_ratio,terminal_four_quarter_debt_gdp_change,minimum_output_gap,maximum_output_gap,peak_gross_issuance_gdp_ratio_annualized,peak_interest_gdp_ratio_annualized,peak_total_deficit_gdp_ratio_annualized,peak_incremental_cash_interest_billions,cumulative_incremental_cash_interest_billions,rate_bound_ever_binding,interest_income_domestic_demand_fraction,fed_inflation_response,simulation_completed,simulation_error,strict_ceiling_defended,sustained_ceiling_defended,maximum_absolute_debt_identity_residual_billions,terminal_four_quarter_inflation_deviation_change,terminal_inflation_pressure_nonincreasing,terminal_debt_gdp_nonincreasing,peak_inflation_deviation_from_reference,terminal_inflation_deviation_from_reference,peak_debt_gdp_gap_from_reference_percentage_points,terminal_debt_gdp_gap_from_reference_percentage_points,first_positive_debt_yield_feedback,peak_debt_yield_long_adjustment_basis_points,terminal_debt_yield_long_adjustment_basis_points
demand_0.0500_phi_0.5,0.04,4.0,,,False,False,0.0341532584674797,0.0341532584674797,0.0007566568295868,0.0403974180830346,0.0870266375021785,2.240501938237108,0.0207602201335883,-0.0034088923073139,0.0076357314228272,2.1295212890963784,0.1384778485882721,0.1556285212217514,1102.9798856072175,88337.8248901483,False,0.05,0.5,True,,True,True,2.9103830456733704e-11,0.00011414425880095305,False,False,,,,,,,
demand_0.0500_phi_1.0,0.04,4.0,,,False,False,0.0305134865634916,0.0303845020347284,0.0006645918213962,0.0426152150191937,0.0889249683180911,2.4161829164238173,0.033296879654916,-0.0034088913461978,0.0068832200580347,2.30507495205838,0.1399997822284813,0.1574636350474015,1333.08186992141,99309.9441082117,False,0.05,1.0,True,,True,True,5.820766091346741e-11,2.2079250610353043e-05,False,False,,,,,,,
demand_0.0500_phi_1.5,0.04,4.0,,,False,False,0.0291025562525044,0.0280943295738213,0.0006545542822448,0.044286581456883,0.0906719415096985,2.544791108501372,0.0413639634033775,-0.0034088903850816,0.0061805902885644,2.4340488567941407,0.1414926786704638,0.1592522952142882,1523.5291134985598,106893.40146925428,False,0.05,1.5,True,,True,True,5.820766091346741e-11,1.2041711458953019e-05,False,False,,,,,,,
demand_0.0500_phi_2.0,0.04,4.0,,,False,False,0.028001209784674,0.0266448542872172,0.0006674974172845,0.045822457833956,0.0922510666918411,2.6402148796529814,0.0467597935751809,-0.0034088894239654,0.0055358053351756,2.529649615603318,0.1429329184861578,0.1609669584661009,1648.6333486499009,112267.09949185804,False,0.05,2.0,True,,True,True,5.820766091346741e-11,2.4984846498652996e-05,False,False,,,,,,,
demand_0.0500_phi_2.5,0.04,4.0,,,False,False,0.0270932847103634,0.0256811290449091,0.0006822250524723,0.0469585310993765,0.0936530322151086,2.7125633129482813,0.0505959516096878,-0.0034088884628493,0.0049556404955748,2.602131163854671,0.1443016320739101,0.1625859459211634,1737.2098870242344,116199.18052108795,False,0.05,2.5,True,,True,True,2.9103830456733704e-11,3.9712481686453e-05,False,False,,,,,,,
demand_0.0500_phi_3.0,0.04,4.0,,,False,False,0.0263395589238375,0.0250052483442669,0.0006929361781288,0.0478161802259763,0.0948748846316217,2.7688100381446183,0.0535059883494137,-0.0034088875017331,0.0044524228033258,2.658517790743456,0.1455843719967817,0.1640930183215903,1804.4905174815,119177.89334597644,False,0.05,3.0,True,,True,True,5.820766091346741e-11,5.042360734295302e-05,False,False,,,,,,,
demand_0.0500_phi_4.0,0.04,4.0,,,False,False,0.0252801977342385,0.0241207610344766,0.0007025547564344,0.0491049355640406,0.0967935356771726,2.8502172084578503,0.0577799607359454,-0.0034088855795008,0.0039946679968019,2.740243548305429,0.1478543346277901,0.1667311678568928,1903.3759003931248,123390.78354258952,False,0.05,4.0,True,,True,True,5.820766091346741e-11,6.0042185648553014e-05,False,False,,,,,,,
demand_0.0500_phi_5.0,0.04,4.0,,,False,False,0.0245093513221122,0.0235576999404976,0.0007038401450097,0.0501720234755324,0.098081475001846,2.906331886911819,0.0608862633107674,-0.0034088836572685,0.0043604739240784,2.796679081789505,0.1497035038508151,0.1698971671074264,1974.74231768206,126246.03461711534,False,0.05,5.0,True,,True,True,5.820766091346741e-11,6.132757422385295e-05,False,False,,,,,,,
demand_0.0500_phi_6.0,0.04,4.0,,,False,False,0.0239395809726364,0.0231599461110865,0.0007022445130451,0.0509405254134048,0.0988680158782599,2.9473495708892985,0.0632831598920806,-0.0034088817350361,0.0047123407013257,2.8379740263418936,0.1514898128581716,0.1727446862842634,2028.962335755436,128308.1038131209,False,0.05,6.0,True,,True,True,5.820766091346741e-11,5.973194225925298e-05,False,False,,,,,,,
demand_0.0500_phi_8.0,0.04,4.0,,,False,False,0.0237410866024292,0.0226246873712543,0.0006964644881276,0.0520736390206327,0.0996086559585645,3.002399201490583,0.0667150949382735,-0.0034088778905715,0.0053742217797487,2.8933972619406805,0.1553822039988837,0.1767295775761492,2103.6911073278275,130984.25139437536,False,0.05,8.0,True,,True,True,5.820766091346741e-11,5.3951917341753014e-05,False,False,,,,,,,
demand_0.0500_phi_12.0,0.04,4.0,,,False,False,0.0237410866024292,0.0220213766242198,0.0006834042654802,0.0552778362674818,0.1025234732646783,3.05658659100396,0.0704433005296167,-0.0034088702016421,0.0066203312073942,2.948134514210538,0.159303527011905,0.1807609696548288,2174.7161763168792,133193.0108700762,False,0.05,12.0,True,,True,True,5.820766091346741e-11,4.089169469435297e-05,False,False,,,,,,,
