scenario,starting_debt_gdp_ratio,required_fiscal_adjustment_gdp_share,static_all_wage_surcharge_rate,equivalent_annual_revenue_at_start_billions,terminal_debt_gdp_ratio,terminal_effective_marketable_rate,terminal_interest_gdp_ratio,terminal_total_deficit_gdp_ratio,terminal_repriced_share,cumulative_additional_interest_vs_baseline_billions
unchanged_baseline,0.9922199765921605,0.020167186034043105,0.048017109604864536,654.7936261516447,1.1913144103087099,0.037459537919662625,0.04621048332770718,0.06671267888918436,0.89573434831931,0.0
recession_only,0.9922199765921605,0.026306912025243934,0.06263550482200937,854.1399027501511,1.2600119432114476,0.037459537919662625,0.048875225877101795,0.07055968721323536,0.89573434831931,0.0
rate_only_500bp,0.9922199765921605,0.056682818340996886,0.13495909128808783,1840.3930076979314,1.6270315387934122,0.08400380370768994,0.13551091058358425,0.15601310614506145,0.9238693327341557,20636.987490607753
fiscal_scare_250bp,0.9922199765921605,0.041838236104185356,0.09961484786710799,1358.4151147415173,1.4681162006989399,0.060410637037968416,0.08928267345210959,0.11096713478824317,0.9106460987743163,9319.108471500462
serious_crisis_500bp,0.9922199765921605,0.05986786332935582,0.14254253173656148,1943.8059059507254,1.7208548416115894,0.08400380370768994,0.14332519131245025,0.16500965264858383,0.9238693327341557,20636.987490607753
loss_of_confidence_1000bp,0.9922199765921605,0.09032950388357362,0.21507024734184196,2932.8426532368558,2.4023820993160907,0.13264622990509053,0.3099906200764987,0.33167508141263224,0.9455843281951847,51156.432491458996
