scenario,policy_regime,terminal_debt_gdp_ratio,final_four_quarter_debt_gdp_change,average_inflation_rate,average_shadow_short_rate,average_actual_short_rate,average_iorb_rate,average_nominal_yield_suppression_basis_points,maximum_required_fed_purchase_gross_issuance_share,cumulative_required_fed_purchases_billions,cumulative_actual_fed_purchases_billions,cumulative_unfilled_fed_purchases_billions,ending_incremental_fed_treasury_holdings_billions,ending_incremental_reserve_balances_billions,cumulative_treasury_interest_billions,cumulative_consolidated_financing_cost_billions,fed_purchase_requirement_fully_covered
price_stability,price_stability,2.2035296843971377,0.04957608853974582,0.053845716001454734,0.08164956728034937,0.08164956728034937,0.08064956728034937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106579.8457155277,106579.8457155277,True
market_functioning,market_functioning,2.190089903425877,0.049156542082233745,0.053845716001454734,0.08164956728034937,0.08089956728034939,0.08064956728034937,7.499999999999997,0.15000000000000013,8598.993060036271,8598.993060036271,0.0,8598.993060036271,8598.993060036271,105375.68001152526,105536.43804988582,True
sterilized_yield_cap,sterilized_yield_cap,1.7208548416110212,-0.01626481223333598,0.053845716001454734,0.08164956728034937,0.03115,0.08064956728034937,381.2467546026204,0.8926407221750648,118287.06949566535,118287.06949566535,0.0,118287.06949566538,118287.06949566538,63333.568628819645,103058.64347380266,True
fiscal_dominance,fiscal_dominance,1.7208548416110212,-0.01626481223333598,0.053845716001454734,0.08164956728034937,0.03115,0.03115,381.2467546026204,0.8926407221750648,118287.06949566535,118287.06949566535,0.0,118287.06949566538,118287.06949566538,63333.568628819645,62393.17469617138,True
